Model,Unit,MAE,RMSE,MAPE
Holt-Winters,HHN-BIR-01_Orthopaedics Ward A,0.08595672041525226,0.12623403998613886,0.007898610716092618
Holt-Winters,HHN-LON-02_General Medicine Ward A,0.1495560465457686,0.20066438055254615,0.0084259948167837
Holt-Winters,HHN-EDI-01_General Medicine Ward A,0.1623273882609832,0.18360728378553115,0.009696128406753464
Holt-Winters,HHN-EDI-01_Day Case Unit,0.19055421347797244,0.22938782747948724,0.7591186116072317
Holt-Winters,HHN-MAN-01_ICU,0.20427472940960456,0.35977248189408445,0.021945438346477143
Holt-Winters,HHN-LON-02_Orthopaedics Ward A,0.20568531403416707,0.26052703059923576,0.01768517588106685
Holt-Winters,HHN-BIR-01_General Medicine Ward A,0.2161158716852911,0.2505425991674985,0.013659934725844907
Holt-Winters,HHN-LON-02_Day Case Unit,0.22279722406301058,0.2525469287493841,263623748355552.25
Holt-Winters,HHN-EDI-01_Orthopaedics Ward A,0.25063061555854965,0.35307612384184167,0.02543973803423134
Holt-Winters,HHN-BIR-01_ICU,0.284337678796721,0.48758897472188445,0.03549821510697641
Holt-Winters,HHN-LON-01_Day Case Unit,0.28685477528103304,0.34650499224398634,424279120533987.6
Holt-Winters,HHN-BIR-01_Day Case Unit,0.29898545295846024,0.3247687836713602,563400958463989.4
Holt-Winters,HHN-LON-02_Cardiology Ward,0.30016047647050875,0.4071901120540208,0.01683644506433985
Holt-Winters,HHN-EDI-01_Orthopaedics Ward B,0.31431939067786985,0.3687904403960075,0.0319230554409379
Holt-Winters,HHN-MAN-01_Day Case Unit,0.32277592849037245,0.37424595442196595,1.2107142832462625
Holt-Winters,HHN-LON-02_Orthopaedics Ward B,0.44750843999025464,0.6682884432655214,0.04151004747539241
Holt-Winters,HHN-MAN-01_General Medicine Ward B,0.477440392570253,0.801611623816846,0.02496481800036443
Holt-Winters,HHN-BIR-01_Orthopaedics Ward B,0.621074359184927,0.8217586419192897,0.06466486285355752
Holt-Winters,HHN-EDI-01_ICU,0.6580265705154841,0.665110137725789,0.08685772614438934
Holt-Winters,HHN-MAN-01_Cardiology Ward,0.6848102910389764,0.9649752882323844,0.030731656286015197
Holt-Winters,HHN-EDI-01_Oncology Ward,0.7713267358914996,0.9906217870952431,0.06963811861024695
Holt-Winters,HHN-LON-01_ICU,0.9760961183722934,1.011082481649308,0.05474201178261762
Holt-Winters,HHN-EDI-01_General Medicine Ward B,1.0053010942439513,1.5209640224511862,0.06863786939263218
Holt-Winters,HHN-LON-02_ICU,1.1151323438811265,1.3082905370076248,0.12443795045297769
Holt-Winters,HHN-MAN-01_Orthopaedics Ward B,1.1325144265097873,1.6285356948433563,0.0572895124102935
Holt-Winters,HHN-BIR-01_General Medicine Ward B,1.3520058455717212,2.3707408178061,0.12164813716246616
Holt-Winters,HHN-MAN-01_Oncology Ward,1.52139216375647,1.9171328253247293,0.08997262475188146
Holt-Winters,HHN-EDI-01_Cardiology Ward,1.6286697129420733,1.8058065895646003,0.11849798766927806
Holt-Winters,HHN-MAN-01_General Medicine Ward A,1.644445585669901,1.9253312433196155,0.08166402235477614
Holt-Winters,HHN-BIR-01_Oncology Ward,1.7342709051646907,1.8454981771606302,0.1681386974976719
Holt-Winters,HHN-LON-02_General Medicine Ward B,1.8641409631289985,1.8846667181248775,0.10449552901604389
Holt-Winters,HHN-MAN-01_Orthopaedics Ward A,2.165183685761952,2.8303188865398736,0.11936788442100019
Holt-Winters,HHN-LON-01_General Medicine Ward B,2.525986492594633,2.9786357447091913,0.08400213574743054
Holt-Winters,HHN-BIR-01_Cardiology Ward,2.6356540304126925,3.556100046156056,0.1657906078710933
Holt-Winters,HHN-LON-01_Orthopaedics Ward B,2.734785588950551,3.5729281988749593,0.12014296552492218
Holt-Winters,HHN-LON-01_General Medicine Ward A,2.8448812760619178,3.0627587480525005,0.08232585649751065
Holt-Winters,HHN-LON-01_Oncology Ward,3.127401033078132,3.6342711228011515,0.14186498389271404
Holt-Winters,HHN-LON-01_Orthopaedics Ward A,4.426481007511481,4.6646865295737685,0.19040194266889013
Holt-Winters,HHN-LON-02_Oncology Ward,8.143850715517143,8.718054017754904,0.475951030904747
Holt-Winters,HHN-LON-01_Cardiology Ward,9.062386436904365,10.17500421074691,0.24987438262818812
SARIMA,HHN-EDI-01_Day Case Unit,0.19523291093453587,0.23193160783389868,0.8167851169701865
SARIMA,HHN-LON-02_Day Case Unit,0.226807947735093,0.2570937401185565,265236745950655.34
SARIMA,HHN-LON-01_Day Case Unit,0.2537097543911396,0.32089070606298936,398932134949451.9
SARIMA,HHN-BIR-01_Day Case Unit,0.28259538939602535,0.30787752350015724,534377020825438.2
